RCAT TRAINING MATRIX AS AT SEPTEMBER 2023,,,,,
REGION,COUNTY,PROPOSED,CURRENT,GAP,HAZARDS
COAST REGION,KWALE,30,35,0,
,KILIFI,30,60,0,
,MOMBASA,30,60,0,
,TAITA TAVETA,30,35,0,
,LAMU,30,50,0,
,TANA RIVER,30,35,0,                                                                                                                                                                                          
LOWER EASTERN,KAJIADO,30,15,15,
,NAIROBI,30,60,0,
,MAKUENI,30,36,0,
,MACHAKOS,30,12,18,
,KITUI,30,17,13,
CENTRAL,KIAMBU,30,15,15,
,MURANGA,30,20,10,
,KIRINYAGA,30,2,28,
,LAIKIPIA,30,30,0,
,THARAKA NITHI,30,5,25,
,EMBU,30,15,30,
,MERU,30,5,25,
,NYERI,30,2,28,
UPPER EASTERN,MARSABIT,30,15,15,
,SAMBURU,30,10,20,
,ISIOLO,30,16,14,
SOUTH RIFT,BARINGO,30,30,0,
,KERICHO,30,15,15,
,NAKURU,30,30,0,
,NAROK,30,19,11,
,NYANDARUA,30,5,25,
,BOMET,30,17,13,
NORTH EASTERN,GARISSA,30,15,15,
,WAJIR,30,10,20,
,MANDERA,30,30,0,
WEST KENYA,KAKAMEGA,30,12,18,
,KISUMU,30,30,0,
,HOMABAY,30,31,0,
,VIHIGA,30,10,20,
,MIGORI,30,15,15,
,KISII,30,10,15,
,SIAYA,30,10,15,
,BUSIA,30,30,15,
,NYAMIRA,30,18,24,
NORTH RIFT,BUNGOMA,30,10,1,
,NANDI,30,7,15,
,TURKANA,30,35,0,
,WEST POKOT,30,15,15,
,UASIN GISHU,30,10,0,
,ELGEYO MARAKWET,30,15,15,
,TRANS NZOIA,30,30,14,
,TOTAL,1410,1009,537,